student_id,pre_score,post_score
S01,5,9.0
S55,4,10.0
S54,3,6.0
S40,6,10.0
S04,3,8.0
S08,3,7.0
S56,4,6.0
S50,1,5.0
S32,2,7.0
S29,2,5.0
S36,6,10.0
S23,4,6.0
S17,3,7.0
S46,2,8.0
S60,3,
S07,3,10.0
S13,4,6.0
S34,5,7.0
S45,4,10.0
S14,2,7.0
S03,5,9.0
S05,4,7.0
S12,2,6.0
S52,3,8.0
S57,4,6.0
S15,4,7.0
S18,3,9.0
S28,5,10.0
S58,2,1.0
S27,4,10.0
S16,3,7.0
S09,2,5.0
S26,5,10.0
S43,3,9.0
S51,4,7.0
S25,5,10.0
S21,4,10.0
S02,0,5.0
S42,4,7.0
S31,4,6.0
S48,3,7.0
S06,6,
S20,3,9.0
S37,5,10.0
S24,3,8.0
S30,4,10.0
S33,2,5.0
S59,3,6.0
S11,4,9.0
S47,4,7.0
S35,1,4.0
S41,3,6.0
S39,3,8.0
S44,6,10.0
S49,4,8.0
S22,1,5.0
S53,4,10.0
S10,4,9.0
S19,4,6.0
S38,5,10.0
