Measure,N,Mean,SD,Min,Max
Pre-test (cross),32,3.34375,1.428045698193525,0.0,6.0
Post-test (cross),30,7.833333333333333,2.2603529375517555,1.0,10.0
Learning gain (cross),30,4.566666666666666,1.6333450621206844,-1.0,7.0
Pre-test (same),28,3.7142857142857144,1.1501092655705905,1.0,6.0
Post-test (same),28,7.321428571428571,1.6789231872789978,4.0,10.0
Learning gain (same),28,3.607142857142857,1.1655323283657166,2.0,6.0
Functionality Score (cross),7,6.571428571428571,1.1338934190276817,5.0,8.0
Xr Integration Score (cross),7,7.142857142857143,0.6900655593423541,6.0,8.0
Ux Design Score (cross),7,6.714285714285714,1.889822365046136,4.0,9.0
Innovation Score (cross),7,6.714285714285714,1.3801311186847083,4.0,8.0
Overall Score (cross),7,7.0,1.5275252316519468,4.0,9.0
Total Score (cross),7,34.142857142857146,5.2417736002416655,24.0,40.0
Functionality Score (same),7,6.142857142857143,1.5735915849388864,3.0,8.0
Xr Integration Score (same),7,5.857142857142857,1.6761634196950517,3.0,8.0
Ux Design Score (same),7,5.285714285714286,0.9511897312113419,4.0,6.0
Innovation Score (same),7,5.714285714285714,1.2535663410560172,4.0,8.0
Overall Score (same),7,5.428571428571429,1.9023794624226837,3.0,9.0
Total Score (same),7,28.428571428571427,6.078847008469695,17.0,36.0
Contribution Self (cross),32,3.90625,0.6890561567076912,2.0,5.0
Help Given (cross),32,4.4375,0.564400909900732,3.0,5.0
Help Received (cross),32,4.5625,0.564400909900732,3.0,5.0
Cross Discipline Learning (cross),31,4.419354838709677,0.672021505032247,2.0,5.0
Would Choose Cross Team Again (cross),31,4.419354838709677,0.5641627157943647,3.0,5.0
Contribution Self (same),28,3.75,0.8871510790372952,2.0,5.0
Help Given (same),27,3.7037037037037037,0.775331929653101,2.0,5.0
Help Received (same),27,3.962962962962963,0.5871365639519861,3.0,5.0
Cross Discipline Learning (same),28,3.107142857142857,0.737326788914382,1.0,4.0
Would Choose Cross Team Again (same),28,3.25,0.7993052538854533,2.0,5.0
